,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USERID,WORKSTATE,TMPID,IDCHECK,ORDERID,DEPT_CODE,STNL_REG,b'ID\xbd\xc5\xb1\xd4\xba\xce\xbf\xa9',latitude,longitude
1669,1680007000,101,봉수사거리,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428744240266,124.87161779035944
1670,1680006200,101,봉수대길사거리,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428739908248,124.87161778850925
1671,1680009800,101,모래방죽사거리,1,,icsi,5,999,,,00000,168,,32.574287524560226,124.87161779428158
1672,1680007300,101,없음,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428745195116,124.87161805140921
1673,1680005900,101,없음,0,,icsi,5,999,,,00000,168,,32.57428738803101,124.87161804205157
1674,1680011100,104,천마터널,0,,icsi,5,999,,,00000,168,,32.5742875921609,124.87161800325285
1675,1680010400,101,없음,1,,icsi,5,999,,,00000,168,,32.574287563781894,124.87161786239913
1676,1680011700,104,석남지하차도,0,,icsi,5,999,,,00000,168,,32.574287622034625,124.8716179741365
1677,1680013100,103,없음,0,,icsi,5,999,,,00000,168,,32.57428766687541,124.87161797681381
1678,1680012500,103,없음,0,,icsi,5,999,,,00000,168,,32.57428765579398,124.87161787463394
1679,1680012200,101,없음,0,,icsi,5,999,,,00000,168,,32.57428765413155,124.87161797624259
1680,1680011000,101,없음,0,,icsi,5,999,,,00000,168,,32.574287590559734,124.87161795169501
1681,1680012300,101,없음,0,,icsi,5,999,,,00000,168,,32.57428765445211,124.87161795450835
1682,1680012600,101,독골사거리,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428765596267,124.87161786681537
1683,1680012400,101,신현사거리,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428765502552,124.87161791023696
1684,1680011900,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.574287623636906,124.87161786541931
1685,1680011800,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.574287622912905,124.87161790903286
1686,1680011400,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.5742875918395,124.87161786366512
1687,1680011300,101,석남1고가교입구,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.574287591334766,124.87161790768435
1688,1680011200,104,석남제1고가차도,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.574287591176024,124.87161792011368
1689,1680010900,104,석남제1고가차도,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.574287590277024,124.87161796791445
1690,1680010800,101,석남1고가교,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428759018435,124.87161797325255
1691,1680010500,103,없음,0,,icsi,5,999,,,00000,168,,32.574287565120265,124.87161779548701
1692,1680005700,101,없음,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428737584286,124.87161806224171
1693,1680005600,101,없음,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.574287346470925,124.87161811262904
1694,1680006300,101,없음,0,,icsi,5,999,,,00000,168,,32.57428741425886,124.87161807598856
1695,1680014800,101,없음,0,,icsi,5,999,,,00000,168,,32.574287895825464,124.87161790517771
1696,1680015000,101,없음,0,,icsi,5,999,,,00000,168,,32.57428791163953,124.8716178726996
1697,1680015500,101,없음,0,,icsi,5,999,,,00000,168,,32.57428793100951,124.87161786987932
1698,1680019000,104,옹밀고가교,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428830930511,124.87161777199691
1699,1680014100,103,없음,0,,icsi,5,999,,,00000,168,,32.57428773663436,124.87161787841119
1700,1680013700,103,없음,0,,icsi,5,999,,,00000,168,,32.57428769288039,124.87161783264942
1701,1680018400,101,없음,0,,icsi,5,999,,,00000,168,,32.574288234135196,124.8716177934215
1702,1680018700,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428828176011,124.8716177802019
1703,1680019100,104,독정고가차도,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428831516633,124.87161794944402
1704,1680018900,104,독정고가차도,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428829972935,124.87161790045526
1705,1680016400,101,없음,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428800540886,124.87161800242214
1706,1680014900,103,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428791355742,124.8716179869656
1707,1680013900,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428770805263,124.87161801132211
1708,1680015200,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.574287929191065,124.87161800022412
1709,1680016000,103,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.574287957996624,124.87161786620763
1710,1680015800,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428794713637,124.87161790267164
1711,1680015700,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428794327074,124.87161790242196
1712,1680015600,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.574287938369984,124.8716178690273
1713,1680015400,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428793095262,124.87161790243657
1714,1680015100,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.574287915104875,124.87161790223183
1715,1680016500,101,빈정내사거리,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.574288005855564,124.87161790655809
1716,1680016100,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428796016802,124.87161791485843
1717,1680014500,101,가정삼거리,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428774962962,124.87161787060924
1718,1680014200,101,없음,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428773671314,124.87161787007473
1719,1680013600,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428769273652,124.87161786820477
1720,1680014400,101,없음,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428774895932,124.87161791433363
1721,1680014300,101,없음,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428774825436,124.87161794764879
1722,1680014000,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.5742877362398,124.8716179141511
1723,1680013500,101,없음,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428769217477,124.87161791238371
1724,1680013800,103,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428769383554,124.87161774007512
1725,1680021100,101,없음,0,,icsi,5,999,,,00000,168,,32.574288534535256,124.87161792567116
1726,1680020800,103,없음,0,,icsi,5,999,,,00000,168,,32.57428846136583,124.87161768409857
1727,1680020100,104,왕길지하차도,0,,icsi,5,999,,,00000,168,,32.57428839838826,124.87161767269377
1728,1680021200,101,불로삼거리,1,,icsi,5,999,,,00000,168,,32.57428855442715,124.87161801344794
