,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,HOUS,POP,CLSS,latitude,longitude
8665,울산광역시,31,울주군,31710,7.6,21.15,3,35.63844232712447,129.28857490667255
8666,울산광역시,31,북구,31200,6.99,16.05,3,35.608812403448425,129.3598464468113
8667,울산광역시,31,울주군,31710,4.56,12.63,6,35.50879092198817,129.18617179582304
8668,울산광역시,31,울주군,31710,1.49,3.93,2,35.58709093621403,129.104562953478
8669,울산광역시,31,울주군,31710,89.5,254.27,4,35.554051253220166,129.2563337710173
8670,울산광역시,31,중구,31110,1.47,4.8,7,35.569721174670114,129.30843331406084
8671,울산광역시,31,울주군,31710,3.06,8.18,3,35.43150041420971,129.25221997840467
8672,울산광역시,31,울주군,31710,1.5,4.23,2,35.352859536744305,129.35553250310335
8673,울산광역시,31,울주군,31710,1.59,4.42,4,35.58076145000306,129.10668271560203
8674,울산광역시,31,울주군,31710,1.5,4.06,1,35.360472368454445,129.31934615658616
8675,울산광역시,31,남구,31140,1.37,5.2,2,35.47640552136319,129.35099600949502
8676,울산광역시,31,울주군,31710,1.52,4.34,2,35.66931781916637,129.1786060637312
8677,울산광역시,31,울주군,31710,335.0,909.77,5,35.56159130524599,129.22445954720624
8678,울산광역시,31,울주군,31710,4.5,11.74,4,35.560667547851544,129.22665179698018
8679,울산광역시,31,울주군,31710,1.49,3.93,2,35.6024940685088,129.09594510159533
8680,울산광역시,31,울주군,31710,3.57,5.31,2,35.4805923709413,129.29816743620668
8681,울산광역시,31,울주군,31710,3.0,8.36,4,35.583853879776015,129.06368873083204
8682,울산광역시,31,울주군,31710,1.53,4.19,3,35.63473988592986,129.21122258495575
8683,울산광역시,31,남구,31140,19.0,58.75,6,35.531193277696595,129.28685367331633
8684,울산광역시,31,남구,31140,78.0,238.99,5,35.52178616789175,129.32308973273328
8685,울산광역시,31,동구,31170,2.04,5.34,5,35.4888893757079,129.44048042992324
8686,울산광역시,31,북구,31200,1.63,5.45,2,35.66309667105243,129.3419909230813
8687,울산광역시,31,울주군,31710,1.75,4.96,2,35.354091045669364,129.3258441324143
8688,울산광역시,31,울주군,31710,1.55,4.23,1,35.65446718390286,129.221461237139
8689,울산광역시,31,울주군,31710,124.0,336.41,5,35.483343611177744,129.29380338069527
8690,울산광역시,31,울주군,31710,1.75,4.81,2,35.47898269003494,129.19234494763668
8691,울산광역시,31,북구,31200,1.63,5.24,5,35.59804023490775,129.4336087537153
8692,울산광역시,31,울주군,31710,3.62,10.18,2,35.476926416184604,129.21766107726046
8693,울산광역시,31,울주군,31710,1.53,4.05,1,35.506555326897754,129.1376316820838
8694,울산광역시,31,북구,31200,1.63,5.24,4,35.60261187106232,129.42817190121394
8695,울산광역시,31,울주군,31710,3.01,5.33,2,35.56747257113112,129.08112406015258
8696,울산광역시,31,남구,31140,85.0,294.39,3,35.540929058803734,129.3035528616147
8697,울산광역시,31,남구,31140,1.37,5.2,1,35.48394567758767,129.32136571238888
8698,울산광역시,31,울주군,31710,1.5,4.16,3,35.40687652077342,129.27936461021415
23272,울산광역시,31,동구,31170,112.31,332.07,4,35.482031874386216,129.41060211366536
23273,울산광역시,31,남구,31140,97.03,193.77,2,35.540821122523376,129.3134770699515
