,PR_per_PY,latitude,longitude,SB_score,CLSS,SB_worker_score
1492,3102730.819245774,35.491156067153774,129.23661393814334,46.13863,5,3.028006198
224,2102803.738317757,35.491776595595624,129.42510135180245,60.293897,2,4.6667366
722,2568181.8181818184,35.491854674566866,129.41848955018278,253.532655,2,5.5183314999999995
80,3835130.970724191,35.492703877923326,129.42291334531842,52.24613999999999,2,6.1418235
10,3120085.015940489,35.49272990510796,129.42070938684836,104.925174,3,4.957050649999999
9,3422404.7535826634,35.49274290361087,129.41960740655432,173.32589099999998,4,13.4671083
100,3632590.051457976,35.49275589205417,129.418505425555,110.889509,4,4.0114322
991,2830882.3529411764,35.49295863547755,129.23664162673106,34.109619,5,5.010841323
316,3985931.0344827585,35.493657109400786,129.41852130163196,193.273941,4,4.42
1485,3601125.51159618,35.49455832660678,129.41853717841366,228.276409,4,5.328156849999999
294,4861370.716510903,35.49535534411879,129.42736917928605,36.272464,4,3.6030149999999996
1266,3892742.927429274,35.495459543672105,129.41855305590016,97.49126500000001,4,33.24855035
781,4385700.389105058,35.49805898413162,129.4274171111838,83.81290299999999,4,11.321877215999999
1177,4181329.235497503,35.498176174983456,129.41749863708657,94.45835499999998,4,5.4076546
481,3679684.0719613866,35.499077391915456,129.417514505091,110.836985,4,0.6194518
754,2430267.06231454,35.49992662106092,129.42193868999192,50.947447999999994,3,40.330011
480,3679684.0719613866,35.49997860870679,129.41753037379985,113.20887099999999,3,10.5997638
571,3642972.53634895,35.49999158046247,129.41642829298937,94.15421199999999,4,4.735151914
504,2763222.131814483,35.50077568562568,129.42636296271192,67.29664,3,4.564833699999999
1004,2571428.5714285714,35.501676898691585,129.42637893125482,41.828495999999994,2,22.998444350000003
292,3706443.9140811455,35.503453186249686,129.42861511708566,51.070838,3,69.46140299999999
887,3417035.9428852783,35.503518456152094,129.42310449522407,59.711632,4,1.5783863879999998
687,3922603.342128408,35.50354449366829,129.4209002415245,28.844716,4,1.548492
1204,4394548.394548395,35.50357049093007,129.41869598500008,110.38138599999999,5,0.3681552
745,2685135.855087906,35.50390578222253,129.3095671845115,50.765573,4,3.5886663999999997
628,4906781.397254661,35.50435439802896,129.42863111236446,152.405178,3,10.3513196
