,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,b'ID\xbd\xc5\xb1\xd4\xba\xce\xbf\xa9',len
3792,1680050100,1680016900,1680016200,0,0,104,000,0,b'\xbc\xad\xb0\xf8\xb4\xdc1\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680016900,OEXT1680016200,OEXT1680050100,,icsi,168,00000,,0.00677781809693
3793,1680050000,1680016200,1680016900,0,0,104,000,0,b'\xbc\xad\xb0\xf8\xb4\xdc1\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680016200,OEXT1680016900,OEXT1680050000,,icsi,168,00000,,0.00678099280327
3794,1680047600,1680016800,1680015300,0,0,104,000,0,b'\xc1\xdf\xba\xc0\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680016800,OEXT1680015300,OEXT1680047600,,icsi,168,00000,,0.00882442440975
3795,1680047700,1680015300,1680016800,0,0,104,000,0,b'\xc1\xdf\xba\xc0\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680015300,OEXT1680016800,OEXT1680047700,,icsi,168,00000,,0.00882695806781
3796,1680019500,1680004100,1680017400,0,0,104,000,0,b'\xc3\xbb\xb6\xf3\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680004100,OEXT1680017400,OEXT1680019500,,icsi,168,00000,,0.00156538766176
3797,1680019400,1680017400,1680004100,0,0,104,000,0,b'\xc3\xbb\xb6\xf3\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680017400,OEXT1680004100,OEXT1680019400,,icsi,168,00000,,0.00156535693664
3798,1680054500,1680018500,1680017900,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1680018500,OEXT1680017900,OEXT1680054500,,icsi,168,00000,,0.0399033817702
3799,1680054400,1680017900,1680018500,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1680017900,OEXT1680018500,OEXT1680054400,,icsi,168,00000,,0.0396049453687
3800,1680019700,1680017800,1680004100,0,0,104,000,0,b'\xc3\xbb\xb6\xf3\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680017800,OEXT1680004100,OEXT1680019700,,icsi,168,00000,,0.00977920850262
3801,1680041400,1680013100,1680013900,0,0,104,000,0,b'\xbc\xad\xb4\xde\xbb\xea\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680013100,OEXT1680013900,OEXT1680041400,,icsi,168,00000,,0.00598486546469
3802,1680040600,1680013600,1680012600,0,0,104,000,0,b'\xbf\xb0\xb0\xee\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680013600,OEXT1680012600,OEXT1680040600,,icsi,168,00000,,0.00408220754029
3803,1680040700,1680012600,1680013600,0,0,104,000,0,b'\xbf\xb0\xb0\xee\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680012600,OEXT1680013600,OEXT1680040700,,icsi,168,00000,,0.0040821769024
3804,1680040100,1680013500,1680012400,0,0,104,000,0,b'\xb0\xa1\xc1\xa4\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680013500,OEXT1680012400,OEXT1680040100,,icsi,168,00000,,0.00412863985321
3805,1680040000,1680012400,1680013500,0,0,104,000,0,b'\xb0\xa1\xc1\xa4\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680012400,OEXT1680013500,OEXT1680040000,,icsi,168,00000,,0.00412622749803
3806,1680016100,1680002400,1680012300,0,0,104,000,0,b'\xb0\xed\xbc\xd3\xb5\xb5\xb7\xce\xb5\xbf\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680002400,OEXT1680012300,OEXT1680016100,,icsi,168,00000,,0.008994005395
3807,1680016000,1680012300,1680002400,0,0,104,000,0,b'\xb0\xed\xbc\xd3\xb5\xb5\xb7\xce\xb5\xbf\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680012300,OEXT1680002400,OEXT1680016000,,icsi,168,00000,,0.0088101305467
