,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,HOUS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60_O,longitude,latitude
215768,울산광역시,31,남구,31140,24.5,37.38,9.59,4.41,4.06,7.77,6.65,4.9,129.29460065109035,35.53291300213431
215773,울산광역시,31,남구,31140,136.69,364.26,83.05,85.31,53.25,64.54,60.27,17.84,129.25729560620357,35.545027044246936
215778,울산광역시,31,남구,31140,75.37,252.57,73.7,20.91,31.5,60.44,39.01,27.01,129.28799955759027,35.533885261260075
215779,울산광역시,31,남구,31140,2.74,8.78,3.44,0.74,1.06,2.14,0.94,0.46,129.27481115355803,35.53672996915236
215780,울산광역시,31,남구,31140,24.46,64.32,17.65,8.53,10.94,12.63,8.42,6.15,129.28486463021767,35.544735750135054
215784,울산광역시,31,남구,31140,25.58,62.28,20.35,5.66,9.05,14.54,7.36,5.32,129.2890588056706,35.531169673369845
215788,울산광역시,31,남구,31140,71.02,172.96,47.23,19.18,25.16,37.41,26.55,17.43,129.31976767443928,35.52092123381581
215805,울산광역시,31,남구,31140,45.4,150.91,19.71,18.86,20.34,24.62,27.68,39.7,129.33862858443464,35.52792419428104
215820,울산광역시,31,남구,31140,6.85,19.0,3.76,3.34,2.69,3.47,3.15,2.59,129.26170667656314,35.54498086059063
215829,울산광역시,31,남구,31140,41.47,58.54,14.1,7.7,8.27,11.24,9.24,7.99,129.2728056926356,35.54937101291124
215835,울산광역시,31,남구,31140,87.16,159.21,40.64,23.93,19.96,31.86,25.09,17.73,129.31429979061534,35.5236853146015
215854,울산광역시,31,남구,31140,184.0,539.72,219.16,43.51,143.45,120.44,13.16,0.0,129.33667831593613,35.543269819973865
215855,울산광역시,31,남구,31140,128.0,426.16,164.22,14.99,21.43,182.58,42.94,0.0,129.31745951874214,35.51463663090038
215856,울산광역시,31,남구,31140,129.0,428.9,114.59,61.19,52.61,93.48,71.48,35.55,129.3331160803777,35.527985390391756
215857,울산광역시,31,남구,31140,413.0,1302.74,503.25,54.6,218.33,365.1,107.91,53.55,129.28795623981392,35.53118148057106
215864,울산광역시,31,남구,31140,72.0,217.23,82.71,12.97,52.27,44.95,15.67,8.66,129.26165007385404,35.541375789011084
221806,울산광역시,31,북구,31200,3.26,10.58,2.5,1.38,1.68,1.94,1.52,1.56,129.31386409693394,35.631858715914355
221807,울산광역시,31,북구,31200,15.6,42.56,7.36,6.8,5.52,4.96,7.68,10.24,129.36527235476854,35.60334253754313
221808,울산광역시,31,북구,31200,12.06,16.02,2.31,3.15,1.74,2.43,3.81,2.58,129.37550415283584,35.55635323981324
221809,울산광역시,31,북구,31200,3.26,10.9,1.54,1.18,1.22,2.16,2.5,2.3,129.4384103647041,35.619616150302114
221810,울산광역시,31,북구,31200,3.09,5.31,0.64,0.93,0.72,1.03,1.15,0.84,129.37118496791746,35.56181095427313
221811,울산광역시,31,북구,31200,2.33,5.35,1.05,0.86,0.55,0.98,1.08,0.83,129.36203833142153,35.60788619581583
221812,울산광역시,31,북구,31200,5.07,16.62,2.55,1.95,1.26,2.94,3.6,4.32,129.4509536533399,35.58070585192376
221813,울산광역시,31,북구,31200,3.26,10.48,1.32,1.06,0.98,1.78,2.16,3.18,129.42927538166552,35.602598759436994
221815,울산광역시,31,북구,31200,1.71,5.68,1.15,1.71,0.65,0.37,0.81,0.99,129.4256147767881,35.64500732006309
221817,울산광역시,31,북구,31200,13.52,43.92,8.24,3.92,4.48,8.32,8.0,10.96,129.32837962528185,35.641614503541085
221818,울산광역시,31,북구,31200,3.26,10.58,2.5,1.38,1.68,1.94,1.52,1.56,129.32718594173224,35.63621932173506
221819,울산광역시,31,북구,31200,3.28,10.42,0.8,1.42,0.64,1.74,2.24,3.58,129.30562256959888,35.60039950035624
221820,울산광역시,31,북구,31200,19.92,42.48,8.8,6.64,5.04,8.32,6.8,6.88,129.35487695158272,35.6413186871307
221821,울산광역시,31,북구,31200,3.38,10.98,2.06,0.98,1.12,2.08,2.0,2.74,129.32508234665272,35.64255230138791
221823,울산광역시,31,북구,31200,6.76,21.96,4.12,1.96,2.24,4.16,4.0,5.48,129.32403788249775,35.64616939283352
221826,울산광역시,31,북구,31200,1.63,5.5,1.21,0.58,0.83,1.18,0.97,0.73,129.3712619084743,35.56631707914806
221827,울산광역시,31,북구,31200,196.49,610.91,234.8,46.77,188.42,98.98,29.67,12.27,129.35377290405222,35.64133112914483
221828,울산광역시,31,북구,31200,1.64,5.21,0.4,0.71,0.32,0.87,1.12,1.79,129.31011021415543,35.60485769376467
221829,울산광역시,31,북구,31200,138.0,458.54,156.61,36.87,73.37,119.57,39.84,32.28,129.36395426250203,35.59073794479127
221830,울산광역시,31,북구,31200,160.0,529.88,182.02,52.67,90.71,122.16,51.91,30.41,129.3526840798016,35.6422447813782
223209,울산광역시,31,울주군,31710,1.65,4.44,0.49,0.51,0.45,0.66,0.94,1.39,129.2797217238795,35.42940852780064
223392,울산광역시,31,중구,31110,1.47,5.03,1.34,0.72,0.81,0.96,0.8,0.4,129.3050508088807,35.56525088653449
223393,울산광역시,31,중구,31110,1.6,6.17,0.77,0.58,0.5,0.84,1.43,2.05,129.29518170801742,35.56896320285166
223394,울산광역시,31,남구,31140,1.37,5.2,0.41,0.45,0.42,0.76,1.16,2.0,129.34544190164047,35.47376346178853
223395,울산광역시,31,동구,31170,1.94,5.31,0.68,0.63,0.42,0.62,1.09,1.87,129.45482749310753,35.55091320236238
223396,울산광역시,31,북구,31200,1.66,5.42,0.24,0.52,0.4,1.06,1.39,1.81,129.42548454531524,35.57560205800226
223397,울산광역시,31,울주군,31710,1.56,4.24,0.63,0.59,0.39,0.62,0.87,1.14,129.28612080439646,35.623144799108196
223398,울산광역시,31,울주군,31710,1.55,4.23,0.43,0.38,0.44,0.61,0.97,1.4,129.22028823539753,35.64997207775369
223399,울산광역시,31,울주군,31710,1.5,4.23,0.56,0.66,0.35,0.71,0.97,0.98,129.35553250310335,35.352859536744305
223400,울산광역시,31,울주군,31710,1.52,4.23,0.41,0.34,0.5,0.7,1.05,1.23,129.27859537558203,35.635844720587826
223401,울산광역시,31,울주군,31710,1.34,3.73,0.65,0.43,0.37,0.7,0.66,0.92,129.29932489483824,35.34716820616281
223402,울산광역시,31,울주군,31710,1.5,4.07,0.96,0.43,0.58,0.69,0.56,0.85,129.18581391376875,35.55927430323547
226314,울산광역시,31,울주군,31710,6.12,16.36,1.68,1.68,1.2,2.56,3.32,5.92,129.232549365972,35.44161907857034
226315,울산광역시,31,울주군,31710,5.79,15.72,2.52,1.83,1.53,2.25,3.12,4.47,129.28394005622965,35.41764504329162
226316,울산광역시,31,울주군,31710,4.5,12.51,3.06,1.5,2.04,2.31,1.62,1.98,129.30026660115422,35.40575135955636
226317,울산광역시,31,울주군,31710,1.53,4.09,0.42,0.42,0.3,0.64,0.83,1.48,129.26169422035682,35.403457094637346
226318,울산광역시,31,울주군,31710,7.65,20.45,2.1,2.1,1.5,3.2,4.15,7.4,129.23473830164872,35.44069522391096
226320,울산광역시,31,울주군,31710,3.1,8.6,1.32,1.02,1.1,1.66,1.62,1.88,129.25535460221764,35.63248413754166
226321,울산광역시,31,울주군,31710,3.12,8.6,1.14,1.2,0.64,1.24,1.96,2.42,129.3423610661258,35.35480974324124
226322,울산광역시,31,울주군,31710,1.53,4.26,0.73,0.54,0.37,0.66,0.93,1.03,129.132539098652,35.536350667528026
226323,울산광역시,31,울주군,31710,9.18,25.4,4.32,3.16,2.3,4.08,5.1,6.44,129.11371816234313,35.531117809987876
226324,울산광역시,31,울주군,31710,7.5,21.0,4.7,2.6,2.7,3.85,3.7,3.45,129.09056268558749,35.53132998333869
226325,울산광역시,31,울주군,31710,1.5,4.2,0.94,0.52,0.54,0.77,0.74,0.69,129.10153972143527,35.52762421398048
226326,울산광역시,31,울주군,31710,1.53,4.26,0.73,0.54,0.37,0.66,0.93,1.03,129.12033396815198,35.531056372725104
226328,울산광역시,31,울주군,31710,93.0,258.74,52.5,33.5,39.2,43.07,52.2,38.27,129.28889111452938,35.45184646556283
226329,울산광역시,31,울주군,31710,1.52,4.13,0.69,0.69,0.45,0.63,0.82,0.85,129.11728924976862,35.5500147672841
226330,울산광역시,31,울주군,31710,13.82,37.35,10.25,6.78,7.14,5.86,3.65,3.67,129.08582338867197,35.507034026348
