,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60,POP_70,POP_80_O,latitude,longitude
396326,울산광역시,31,울주군,31710,5.1051,0.0,0.0,1.02102,2.04204,2.04204,0.0,0.0,0.0,35.66489780365363,129.1697040697903
396388,울산광역시,31,중구,31110,139.87703,0.05066,41.4353,45.713,26.11002,23.6305,2.81093,0.12662,0.0,35.550686611007265,129.3180504126815
396433,울산광역시,31,중구,31110,19.14747,0.0,4.5363,8.3841,2.84553,1.69077,1.69077,0.0,0.0,35.547309349733084,129.2970385172394
396444,울산광역시,31,울주군,31710,23.18958,0.0,0.0,11.5948,11.59478,0.0,0.0,0.0,0.0,35.42459464608013,129.30827916200528
396509,울산광역시,31,남구,31140,274.43432,0.0,37.24361,101.66628,88.27212,37.80185,9.39463,0.05583,0.0,35.50127728384103,129.38338103182895
396518,울산광역시,31,북구,31200,27.32127,0.0,9.34967,6.50477,7.77628,3.4174,0.20486,0.06829,0.0,35.54091856709563,129.38516584145745
396533,울산광역시,31,남구,31140,3.74478,0.0,0.0,0.0,0.0,3.74478,0.0,0.0,0.0,35.50850769217725,129.30082253532902
396588,울산광역시,31,울주군,31710,63.94396,0.0,13.80851,22.73089,19.33189,7.01048,1.06219,0.0,0.0,35.44313582445916,129.17088495057808
396659,울산광역시,31,남구,31140,27.14586,0.0,2.20102,8.80405,6.60306,6.60303,2.9347,0.0,0.0,35.5152822471431,129.3406232573562
396671,울산광역시,31,중구,31110,9.15455,0.01041,0.55698,0.67669,7.72569,0.15355,0.02603,0.0026,0.0026,35.550024999457776,129.29597934539888
396721,울산광역시,31,남구,31140,7.85672,0.00059,0.84413,2.24667,3.33615,1.23829,0.17547,0.01542,0.0,35.49411800871504,129.37884907777905
396728,울산광역시,31,남구,31140,121.38516,0.0,34.91563,55.44898,15.5144,14.00732,1.49883,0.0,0.0,35.53209453845597,129.2868680996098
396736,울산광역시,31,울주군,31710,1.22338,0.0,0.34365,0.3093,0.43986,0.10309,0.02061,0.00687,0.0,35.46430830274172,129.21747038817927
