,,,,,일자,20180422,20180422,20180423,20180423,20180424,20180424,20180425,20180425,20180426,20180426,20180427,20180427,20180428,20180428,계,계
가로명,방면,요일,순번(LV2),시작지점,종료지점,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
국도14호선,상행,목요일,4,덕정사거리,LG화학앞,-,-,-,-,-,-,-,-,0,899,-,-,-,-,0,899
국도14호선,상행,목요일,5,LG화학앞,남창사거리,-,-,-,-,-,-,-,-,0,373,-,-,-,-,0,373
국도14호선,상행,목요일,6,남창사거리,화철령,-,-,-,-,-,-,-,-,0,0,-,-,-,-,0,0
국도14호선,상행,금요일,1,두왕사거리,두왕삼거리,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,0
국도14호선,상행,금요일,2,두왕삼거리,개산교,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,0
국도14호선,상행,금요일,3,개산교,덕정사거리,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,0
국도14호선,상행,금요일,4,덕정사거리,LG화학앞,-,-,-,-,-,-,-,-,-,-,0,900,-,-,0,900
국도14호선,상행,금요일,5,LG화학앞,남창사거리,-,-,-,-,-,-,-,-,-,-,0,368,-,-,0,368
국도14호선,상행,금요일,6,남창사거리,화철령,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,0
국도14호선,상행,토요일,1,두왕사거리,두왕삼거리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
국도14호선,상행,토요일,2,두왕삼거리,개산교,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
국도14호선,상행,토요일,3,개산교,덕정사거리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
국도14호선,상행,토요일,4,덕정사거리,LG화학앞,-,-,-,-,-,-,-,-,-,-,-,-,0,710,0,710
국도14호선,상행,토요일,5,LG화학앞,남창사거리,-,-,-,-,-,-,-,-,-,-,-,-,0,379,0,379
국도14호선,상행,토요일,6,남창사거리,화철령,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
국도14호선,하행,일요일,1,화철령,화물차검문소,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
국도14호선,하행,일요일,2,화물차검문소,외고산삼거리,0,97,-,-,-,-,-,-,-,-,-,-,-,-,0,97
국도14호선,하행,일요일,3,외고산삼거리,,0,976,-,-,-,-,-,-,-,-,-,-,-,-,0,976
국도14호선,하행,일요일,4,,제네삼거리,0,110,-,-,-,-,-,-,-,-,-,-,-,-,0,110
국도14호선,하행,일요일,5,제네삼거리,,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
국도14호선,하행,일요일,6,,두왕사거리,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
국도14호선,하행,월요일,1,화철령,화물차검문소,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0
국도14호선,하행,월요일,2,화물차검문소,외고산삼거리,-,-,0,102,-,-,-,-,-,-,-,-,-,-,0,102
국도14호선,하행,월요일,3,외고산삼거리,,-,-,0,"1,190",-,-,-,-,-,-,-,-,-,-,0,"1,190"
국도14호선,하행,월요일,4,,제네삼거리,-,-,0,127,-,-,-,-,-,-,-,-,-,-,0,127
국도14호선,하행,월요일,5,제네삼거리,,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0
국도14호선,하행,월요일,6,,두왕사거리,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0
국도14호선,하행,화요일,1,화철령,화물차검문소,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0
국도14호선,하행,화요일,2,화물차검문소,외고산삼거리,-,-,-,-,0,107,-,-,-,-,-,-,-,-,0,107
국도14호선,하행,화요일,3,외고산삼거리,,-,-,-,-,0,"1,170",-,-,-,-,-,-,-,-,0,"1,170"
국도14호선,하행,화요일,4,,제네삼거리,-,-,-,-,0,125,-,-,-,-,-,-,-,-,0,125
